time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_error,y_error,z_error,psi_error,solve_time,metadata
3.9250000000000003,0.051914461486460436,-0.002656938186103095,-0.011815570653914457,-0.16952733264478914,0.3376113392922882,5.086693170748033,-3.0430265634165488,-0.08710693699349904,-1.2198270056126785,-0.11164159155582584,0.05678163407487667,11.090360438113947,0.12585686329352727,-0.22250286890866805,0.029281875313989732,2.268229291806836,-1.0761638934468822,0.9648002309936974,0.0008524897081183917,-0.05119523081340168,-0.014373871393175797,0.10879331045571702,0.9037248516734326,5.024077406974768,0.0,0.0,0.0,0.01,-3.0430265634165488,-0.08710693699349904,-1.2198270056126785,11.090360438113947,0.0,0.0
3.926,0.05203961101482711,-0.002879979446513722,-0.011786441539299813,-0.1672618617635543,0.3365172998352368,5.087657828107046,-3.0430256584135966,-0.08715826295463673,-1.2198413793743568,-0.11152591540110486,0.05768385121221746,11.095385950435697,0.1251495283666743,-0.223041260410627,0.029129114614644177,2.2654708812348523,-1.0940394570514063,0.9646573590130898,0.0009050029522279859,-0.05132596113769196,-0.014373761678147986,0.11567615472097509,0.9022171373407915,5.025512321748658,0.0,0.0,0.0,0.01,-3.0430256584135966,-0.08715826295463673,-1.2198413793743568,11.095385950435697,0.0,0.0
3.927,0.05216404834354766,-0.0031035586604139273,-0.011757465547871906,-0.16499928713026332,0.33540541775721977,5.088622342615236,-3.0430247000311894,-0.087209719805114,-1.2198557532966632,-0.1114033637016228,0.05858450806723471,11.100412909277658,0.1244373287205513,-0.2235792139002056,0.02897599142790816,2.2625746332909715,-1.1118820780170704,0.9645145081896112,0.0009583824071658078,-0.0514568504772695,-0.01437392230630714,0.12255169948205397,0.9006568550172533,5.026958841961967,0.0,0.0,0.0,0.01,-3.0430247000311894,-0.087209719805114,-1.2198557532966632,11.100412909277658,0.0,0.0
3.928,0.052287768586217545,-0.0033276753565595033,-0.01172864303477961,-0.16273974638116417,0.33427572705713593,5.089586714293755,-3.043023687403303,-0.08726130769685256,-1.219870127649615,-0.11127394414117073,0.05948355211626257,11.105441326165282,0.123720242669886,-0.22411669614557617,0.028822513092295565,2.2595407490991373,-1.1296907000838405,0.9643716785201284,0.0010126278865947099,-0.05158789173856716,-0.014374352952017272,0.12941956045208056,0.8990440490278614,5.028416887624093,0.0,0.0,0.0,0.01,-3.043023687403303,-0.08726130769685256,-1.219870127649615,11.105441326165282,0.0,0.0
3.9290000000000003,0.05241076683497011,-0.003552329030179573,-0.011699974347817447,-0.16048337694317633,0.33312826278876206,5.090550943163757,-3.043022619664146,-0.08731302677467905,-1.219884502702878,-0.11113766478818306,0.06038093088278629,11.110471212541254,0.1229982487525656,-0.2246536736200697,0.028668686962163677,2.25636943798785,-1.1474642683738754,0.9642288700015089,0.0010677391568877327,-0.05171907782648638,-0.014375053262943728,0.1362793529876659,0.8973787665237165,5.029886375972603,0.0,0.0,0.0,0.01,-3.043022619664146,-0.08731302677467905,-1.219884502702878,11.110471212541254,0.0,0.0
3.93,0.05253303816070266,-0.003777519142683025,-0.011671459827410151,-0.1582303160256947,0.33196306105930756,5.091515029246388,-3.0430214959482087,-0.08736487717632384,-1.219898878725738,-0.1109945340960861,0.06127659194027348,11.11550257976274,0.1222713257325452,-0.22519011250345203,0.028514520407295428,2.2530609174816316,-1.1652017294544934,0.9640860826306205,0.0011237159371157704,-0.05185040164479665,-0.014376022860088497,0.143130692096949,0.8956610574871969,5.0313672214850405,0.0,0.0,0.0,0.01,-3.0430214959482087,-0.08736487717632384,-1.219898878725738,11.11550257976274,0.0,0.0
3.931,0.05265457761330541,-0.004003245121366249,-0.011643099806597671,-0.15598070061240268,0.3307801590279065,5.092478972562792,-3.0430203153903097,-0.08741685903242037,-1.219913255987076,-0.11084456090363819,0.06217048291501067,11.120535439098632,0.12153945260275145,-0.22572597868322442,0.028360020812480805,2.2496154132920156,-1.182902031401076,0.9639433164043316,0.0011805578990382345,-0.051981856096534655,-0.014377261337828186,0.14997319244791746,0.8938909747371859,5.032859335891334,0.0,0.0,0.0,0.01,-3.0430203153903097,-0.08741685903242037,-1.219913255987076,11.120535439098632,0.0,0.0
3.932,0.05277538022189339,-0.004229506359122199,-0.011614894611020573,-0.15373466745309464,0.32957959490404654,5.093442773134112,-3.0430190771256425,-0.08746897246650477,-1.21992763475534,-0.11068775443526117,0.06306255148894498,11.125569801726819,0.1208026085879815,-0.22626123775594933,0.028205195577097456,2.246033159308035,-1.2005641238599207,0.963800571319511,0.0012382646670952768,-0.052113434084403366,-0.01437876826395465,0.1568064683770127,0.8920685739343057,5.034362628186804,0.0,0.0,0.0,0.01,-3.0430190771256425,-0.08746897246650477,-1.21992763475534,11.125569801726819,0.0,0.0
3.9330000000000003,0.05289544099504118,-0.004456302214150801,-0.011586844558905882,-0.1514923530555084,0.3283614079459355,5.0944064309814845,-3.043017780289824,-0.08752121759501594,-1.2199420152985199,-0.11052412430136314,0.06395274540253112,11.130605678731465,0.12006077314779712,-0.226795855028602,0.0280500521146905,2.242314397586237,-1.2181869581110274,0.963657847373028,0.001296835818403141,-0.05224512851117078,-0.014380543179718257,0.16363013389802558,0.8901939135861554,5.035877004645767,0.0,0.0,0.0,0.01,-3.043017780289824,-0.08752121759501594,-1.2199420152985199,11.130605678731465,0.0,0.0
3.934,0.0530147549210206,-0.004683632009670746,-0.011558949961053331,-0.14925389367716818,0.32712563845880466,5.095369946126047,-3.0430164240189415,-0.087573594527296,-1.2199563978841197,-0.11035368049865185,0.06484101245758367,11.1356430811003,0.11931392597941344,-0.22732979551994487,0.027894597852551536,2.2384593783402136,-1.2357694871308214,0.9635151445617524,0.0013562708827510959,-0.052376932280068476,-0.01438258559987382,0.17044380271129106,0.8882670550525479,5.037402368835741,0.0,0.0,0.0,0.01,-3.0430164240189415,-0.087573594527296,-1.2199563978841197,11.1356430811003,0.0,0.0
